Bandit,Reward,Algorithm
2,3.0229001716570965,EpsilonGreedyBandit
2,3.7781853149202655,EpsilonGreedyBandit
2,2.4147427695535546,EpsilonGreedyBandit
2,2.3189289166419154,EpsilonGreedyBandit
2,4.848058074538994,EpsilonGreedyBandit
2,3.242175790741484,EpsilonGreedyBandit
2,1.8587016058343473,EpsilonGreedyBandit
2,3.696444380505603,EpsilonGreedyBandit
2,3.985702900896076,EpsilonGreedyBandit
2,3.028464701925906,EpsilonGreedyBandit
2,2.799263099998015,EpsilonGreedyBandit
2,2.138560930971983,EpsilonGreedyBandit
2,2.140146260352121,EpsilonGreedyBandit
2,1.634029350664622,EpsilonGreedyBandit
2,4.059108858706924,EpsilonGreedyBandit
2,3.2323954019902517,EpsilonGreedyBandit
2,2.548456792419037,EpsilonGreedyBandit
2,1.703745373803889,EpsilonGreedyBandit
2,3.0599038935547926,EpsilonGreedyBandit
2,1.749879619056137,EpsilonGreedyBandit
2,2.9275836987797903,EpsilonGreedyBandit
2,3.1546594980343126,EpsilonGreedyBandit
2,3.159645912527013,EpsilonGreedyBandit
2,-0.11782668497178017,EpsilonGreedyBandit
2,3.4795616118109725,EpsilonGreedyBandit
2,1.3913291456493095,EpsilonGreedyBandit
2,2.0967540580775776,EpsilonGreedyBandit
2,2.4035242888584,EpsilonGreedyBandit
2,3.6150650479401363,EpsilonGreedyBandit
2,2.0127086566878583,EpsilonGreedyBandit
2,4.826903408714755,EpsilonGreedyBandit
2,3.9611573768780355,EpsilonGreedyBandit
2,1.2351838031832487,EpsilonGreedyBandit
2,3.4463289543564186,EpsilonGreedyBandit
2,4.605373589143503,EpsilonGreedyBandit
2,3.92812774595933,EpsilonGreedyBandit
2,3.408712879060846,EpsilonGreedyBandit
2,3.484936044392504,EpsilonGreedyBandit
2,1.8438921450171437,EpsilonGreedyBandit
2,2.3874171488826965,EpsilonGreedyBandit
2,3.9019536773668415,EpsilonGreedyBandit
2,-0.24793886578593982,EpsilonGreedyBandit
2,3.421934844771482,EpsilonGreedyBandit
2,4.1351292203318515,EpsilonGreedyBandit
2,3.388639536962001,EpsilonGreedyBandit
2,2.7780633124718195,EpsilonGreedyBandit
2,3.7755276971447915,EpsilonGreedyBandit
2,3.148415428185372,EpsilonGreedyBandit
2,0.5448203399669787,EpsilonGreedyBandit
2,1.2683087515413198,EpsilonGreedyBandit
2,2.3179985261311202,EpsilonGreedyBandit
2,2.8744485597866567,EpsilonGreedyBandit
2,1.4906115198310452,EpsilonGreedyBandit
2,2.806662622960302,EpsilonGreedyBandit
2,3.057955943102417,EpsilonGreedyBandit
2,2.9551186183878495,EpsilonGreedyBandit
2,1.633727001772946,EpsilonGreedyBandit
2,4.637328735664833,EpsilonGreedyBandit
2,2.658072593266678,EpsilonGreedyBandit
2,3.6466557650414213,EpsilonGreedyBandit
2,2.915487914057074,EpsilonGreedyBandit
2,3.247979862538158,EpsilonGreedyBandit
2,3.627187977934497,EpsilonGreedyBandit
2,4.599877982194082,EpsilonGreedyBandit
