Bandit,Reward,Algorithm
3,5.5784176631159585,ThompsonSamplingBandit
3,4.316900861609655,ThompsonSamplingBandit
3,5.654657996294414,ThompsonSamplingBandit
3,4.889244101309873,ThompsonSamplingBandit
3,3.9211550601876994,ThompsonSamplingBandit
3,5.1753209002459455,ThompsonSamplingBandit
3,4.843466869344463,ThompsonSamplingBandit
3,4.547479792893024,ThompsonSamplingBandit
3,5.117343392159213,ThompsonSamplingBandit
3,2.709585497564672,ThompsonSamplingBandit
3,4.614622728842279,ThompsonSamplingBandit
3,3.238089575899182,ThompsonSamplingBandit
3,5.267323646591407,ThompsonSamplingBandit
3,4.86054436833743,ThompsonSamplingBandit
3,3.2969377418313486,ThompsonSamplingBandit
3,4.64486030593381,ThompsonSamplingBandit
3,4.288518883275449,ThompsonSamplingBandit
3,3.778519603715184,ThompsonSamplingBandit
3,6.347041113148061,ThompsonSamplingBandit
3,2.6507524553244997,ThompsonSamplingBandit
3,4.693533268223232,ThompsonSamplingBandit
3,5.802926478207814,ThompsonSamplingBandit
3,5.099632233136825,ThompsonSamplingBandit
3,2.8989874379689744,ThompsonSamplingBandit
3,4.864842800218355,ThompsonSamplingBandit
3,2.6430254704613416,ThompsonSamplingBandit
3,4.182011735606986,ThompsonSamplingBandit
3,2.420582836078786,ThompsonSamplingBandit
3,3.4998467585863238,ThompsonSamplingBandit
3,2.673145860650907,ThompsonSamplingBandit
3,4.039174896702394,ThompsonSamplingBandit
3,4.090280430834304,ThompsonSamplingBandit
3,5.448575814567709,ThompsonSamplingBandit
3,6.0727649059294055,ThompsonSamplingBandit
3,6.108117071862033,ThompsonSamplingBandit
3,3.917127187851722,ThompsonSamplingBandit
3,3.393630687365061,ThompsonSamplingBandit
3,4.424914177756273,ThompsonSamplingBandit
3,2.4504866751920744,ThompsonSamplingBandit
3,4.400758124869701,ThompsonSamplingBandit
3,4.557434883536684,ThompsonSamplingBandit
3,4.2599188983091185,ThompsonSamplingBandit
3,3.6751865598558306,ThompsonSamplingBandit
3,4.057812091762066,ThompsonSamplingBandit
3,4.708193749103728,ThompsonSamplingBandit
3,6.560015962509057,ThompsonSamplingBandit
3,3.390869849479572,ThompsonSamplingBandit
3,2.1435930481440884,ThompsonSamplingBandit
3,3.5911813639585013,ThompsonSamplingBandit
3,3.5499094114735934,ThompsonSamplingBandit
3,4.4310722048736375,ThompsonSamplingBandit
3,3.792134545972509,ThompsonSamplingBandit
3,2.4865355942970266,ThompsonSamplingBandit
3,2.943608887572852,ThompsonSamplingBandit
3,4.442957813265338,ThompsonSamplingBandit
3,3.30978954266152,ThompsonSamplingBandit
3,5.936050932155227,ThompsonSamplingBandit
3,3.3268707011971523,ThompsonSamplingBandit
3,4.680682259975634,ThompsonSamplingBandit
3,2.7077908151707533,ThompsonSamplingBandit
3,3.334244333333863,ThompsonSamplingBandit
3,2.9064979508612643,ThompsonSamplingBandit
3,4.955327548095823,ThompsonSamplingBandit
3,3.33370298268578,ThompsonSamplingBandit
3,2.8159023473992617,ThompsonSamplingBandit
3,3.3781324834203277,ThompsonSamplingBandit
3,5.63646223695639,ThompsonSamplingBandit
3,4.6810199766835145,ThompsonSamplingBandit
3,4.641804802227466,ThompsonSamplingBandit
3,4.604511036100696,ThompsonSamplingBandit
3,4.448990192384121,ThompsonSamplingBandit
3,3.7070698213380626,ThompsonSamplingBandit
3,4.219599303277916,ThompsonSamplingBandit
3,3.3776236333673273,ThompsonSamplingBandit
3,4.065995066130902,ThompsonSamplingBandit
3,6.103252974215119,ThompsonSamplingBandit
3,3.815490158265215,ThompsonSamplingBandit
3,4.884237214211945,ThompsonSamplingBandit
3,4.218851822251603,ThompsonSamplingBandit
3,4.784813790569182,ThompsonSamplingBandit
3,5.547082735746442,ThompsonSamplingBandit
3,3.8129059367930727,ThompsonSamplingBandit
3,4.962980357892941,ThompsonSamplingBandit
3,7.912628146484397,ThompsonSamplingBandit
3,4.644625320489672,ThompsonSamplingBandit
3,3.816471035454206,ThompsonSamplingBandit
3,4.732474936636888,ThompsonSamplingBandit
3,4.3635396104889095,ThompsonSamplingBandit
3,3.439906389357773,ThompsonSamplingBandit
3,5.437056648592909,ThompsonSamplingBandit
3,3.46516195146115,ThompsonSamplingBandit
3,2.9557564248569865,ThompsonSamplingBandit
3,3.260264469219586,ThompsonSamplingBandit
3,3.6746147058194785,ThompsonSamplingBandit
3,4.578378593288952,ThompsonSamplingBandit
3,3.3250422871826735,ThompsonSamplingBandit
3,4.157908729358608,ThompsonSamplingBandit
3,5.72373513791087,ThompsonSamplingBandit
3,2.603777415582543,ThompsonSamplingBandit
3,2.706563285712736,ThompsonSamplingBandit
3,1.8661553699230349,ThompsonSamplingBandit
3,3.957189692343234,ThompsonSamplingBandit
3,2.6000258766401942,ThompsonSamplingBandit
3,3.6171730084520273,ThompsonSamplingBandit
3,3.3641968863238727,ThompsonSamplingBandit
3,4.4979636749629295,ThompsonSamplingBandit
3,4.932445688993865,ThompsonSamplingBandit
3,3.8585457768380382,ThompsonSamplingBandit
3,4.0480394576299386,ThompsonSamplingBandit
3,4.278110420318987,ThompsonSamplingBandit
3,4.904486844506255,ThompsonSamplingBandit
3,4.549436754144486,ThompsonSamplingBandit
3,5.064725184644789,ThompsonSamplingBandit
3,5.355789454584224,ThompsonSamplingBandit
3,5.256357737490996,ThompsonSamplingBandit
3,6.148825917940301,ThompsonSamplingBandit
3,3.809869721327832,ThompsonSamplingBandit
3,2.765963847171625,ThompsonSamplingBandit
3,3.5505862555368117,ThompsonSamplingBandit
3,2.4611912410252756,ThompsonSamplingBandit
3,3.60116847577542,ThompsonSamplingBandit
3,6.630904393991516,ThompsonSamplingBandit
3,4.5407624135283875,ThompsonSamplingBandit
3,3.6339601226348086,ThompsonSamplingBandit
3,5.1986468125413,ThompsonSamplingBandit
3,2.149375026862949,ThompsonSamplingBandit
3,6.257628794908351,ThompsonSamplingBandit
3,3.610022353204311,ThompsonSamplingBandit
3,2.6231819907696226,ThompsonSamplingBandit
3,4.670249387544234,ThompsonSamplingBandit
3,4.641474072031496,ThompsonSamplingBandit
3,4.758727869397948,ThompsonSamplingBandit
3,2.9377387210720762,ThompsonSamplingBandit
3,4.161590469102781,ThompsonSamplingBandit
3,4.731452870949571,ThompsonSamplingBandit
3,4.1921159166201045,ThompsonSamplingBandit
3,4.931396442547295,ThompsonSamplingBandit
3,4.451734907472672,ThompsonSamplingBandit
3,7.234272876893488,ThompsonSamplingBandit
3,2.9841275299116754,ThompsonSamplingBandit
3,2.778371219292577,ThompsonSamplingBandit
3,5.009958714321313,ThompsonSamplingBandit
3,2.9537355050565406,ThompsonSamplingBandit
3,3.4721718962573185,ThompsonSamplingBandit
3,4.346532640164367,ThompsonSamplingBandit
3,3.9976251063832278,ThompsonSamplingBandit
3,4.156797603465488,ThompsonSamplingBandit
3,3.693354303690307,ThompsonSamplingBandit
3,4.742379948330223,ThompsonSamplingBandit
3,4.6748948873205,ThompsonSamplingBandit
3,3.293898153280619,ThompsonSamplingBandit
3,5.0320871085271115,ThompsonSamplingBandit
3,5.151690569574316,ThompsonSamplingBandit
3,4.584542706951752,ThompsonSamplingBandit
3,3.190765737727575,ThompsonSamplingBandit
3,4.663910752010029,ThompsonSamplingBandit
3,4.186420365045334,ThompsonSamplingBandit
3,4.261182617432351,ThompsonSamplingBandit
3,4.82723510624751,ThompsonSamplingBandit
3,3.892126090662544,ThompsonSamplingBandit
3,6.157216086491322,ThompsonSamplingBandit
3,5.837156881661048,ThompsonSamplingBandit
3,4.612904465229785,ThompsonSamplingBandit
3,3.7828274629964103,ThompsonSamplingBandit
3,6.534944360187151,ThompsonSamplingBandit
3,4.094612346231406,ThompsonSamplingBandit
3,1.5780270929229578,ThompsonSamplingBandit
3,4.697467736409593,ThompsonSamplingBandit
3,4.306329382846049,ThompsonSamplingBandit
3,5.331238086589796,ThompsonSamplingBandit
3,4.295436656600937,ThompsonSamplingBandit
3,4.773583768490082,ThompsonSamplingBandit
3,3.335946043336045,ThompsonSamplingBandit
3,4.854263987079562,ThompsonSamplingBandit
3,5.121881941549257,ThompsonSamplingBandit
3,1.951227913538852,ThompsonSamplingBandit
3,1.9459993580088186,ThompsonSamplingBandit
3,3.166846981923217,ThompsonSamplingBandit
3,2.3969293102758913,ThompsonSamplingBandit
3,3.1271006305198568,ThompsonSamplingBandit
3,4.293607662968042,ThompsonSamplingBandit
3,5.889505407660074,ThompsonSamplingBandit
3,5.006310219557975,ThompsonSamplingBandit
3,2.628935846068299,ThompsonSamplingBandit
3,2.325203537304297,ThompsonSamplingBandit
3,2.6047691526550363,ThompsonSamplingBandit
3,5.368537807943087,ThompsonSamplingBandit
3,3.183669154497095,ThompsonSamplingBandit
3,3.7907566682966993,ThompsonSamplingBandit
3,4.484178884994851,ThompsonSamplingBandit
3,4.678276456930659,ThompsonSamplingBandit
3,4.322963492990999,ThompsonSamplingBandit
3,3.239009413818456,ThompsonSamplingBandit
3,4.937873201345854,ThompsonSamplingBandit
3,2.75691422911816,ThompsonSamplingBandit
3,1.9860953653413667,ThompsonSamplingBandit
3,3.7777623130099305,ThompsonSamplingBandit
3,4.152806344734495,ThompsonSamplingBandit
3,4.578218278262164,ThompsonSamplingBandit
3,3.78419396112996,ThompsonSamplingBandit
3,3.948695624380087,ThompsonSamplingBandit
3,4.880231462053127,ThompsonSamplingBandit
3,2.423106771659479,ThompsonSamplingBandit
3,3.1837386956240388,ThompsonSamplingBandit
3,5.043458253977866,ThompsonSamplingBandit
3,4.378124354157463,ThompsonSamplingBandit
